x_cm,y_cm,z_cm,bx_T,by_T,bz_T
  -15.0000,   -3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,    0.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,    1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,    3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,   -3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,   -1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,    0.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,    1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,    3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,   -3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,   -1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    0.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    0.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    0.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    0.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    1.5000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    3.0000,  -55.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -10.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    0.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    1.5000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    3.0000,  -50.4167,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -3.0000,  -45.8333,  0.15071241E-03,  0.72268813E-03, -0.27189238E-03
  -15.0000,   -1.5000,  -45.8333,  0.77864020E-04,  0.79959837E-03, -0.14047041E-03
  -15.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.82567916E-03, -0.00000000E+00
  -15.0000,    1.5000,  -45.8333, -0.77864020E-04,  0.79959837E-03,  0.14047041E-03
  -15.0000,    3.0000,  -45.8333, -0.15071241E-03,  0.72268813E-03,  0.27189238E-03
  -10.0000,   -3.0000,  -45.8333,  0.83109529E-04,  0.54888272E-03, -0.14993356E-03
  -10.0000,   -1.5000,  -45.8333,  0.42839688E-04,  0.60568957E-03, -0.77284843E-04
  -10.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.62523946E-03, -0.00000000E+00
  -10.0000,    1.5000,  -45.8333, -0.42839688E-04,  0.60568957E-03,  0.77284843E-04
  -10.0000,    3.0000,  -45.8333, -0.83109529E-04,  0.54888272E-03,  0.14993356E-03
   -5.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -5.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    0.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    1.5000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    3.0000,  -45.8333,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -3.0000,  -41.2500,  0.32618467E-03,  0.13092840E-02, -0.58845273E-03
  -15.0000,   -1.5000,  -41.2500,  0.16692785E-03,  0.14407203E-02, -0.30114581E-03
  -15.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.14847718E-02, -0.00000000E+00
  -15.0000,    1.5000,  -41.2500, -0.16692785E-03,  0.14407203E-02,  0.30114581E-03
  -15.0000,    3.0000,  -41.2500, -0.32618467E-03,  0.13092840E-02,  0.58845273E-03
  -10.0000,   -3.0000,  -41.2500,  0.20882476E-03,  0.90050029E-03, -0.37672984E-03
  -10.0000,   -1.5000,  -41.2500,  0.10754083E-03,  0.99628166E-03, -0.19400879E-03
  -10.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.10285725E-02, -0.00000000E+00
  -10.0000,    1.5000,  -41.2500, -0.10754083E-03,  0.99628166E-03,  0.19400879E-03
  -10.0000,    3.0000,  -41.2500, -0.20882476E-03,  0.90050029E-03,  0.37672984E-03
   -5.0000,   -3.0000,  -41.2500,  0.12480415E-03,  0.65071695E-03, -0.22515265E-03
   -5.0000,   -1.5000,  -41.2500,  0.64529597E-04,  0.71937237E-03, -0.11641447E-03
   -5.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.74274750E-03, -0.00000000E+00
   -5.0000,    1.5000,  -41.2500, -0.64529597E-04,  0.71937237E-03,  0.11641447E-03
   -5.0000,    3.0000,  -41.2500, -0.12480415E-03,  0.65071695E-03,  0.22515265E-03
    0.0000,   -3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,   -1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    5.0000,    3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,   -1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   10.0000,    3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,   -1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    0.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    1.5000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   15.0000,    3.0000,  -41.2500,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  -15.0000,   -3.0000,  -36.6667,  0.61130416E-03,  0.25114176E-02, -0.11028219E-02
  -15.0000,   -1.5000,  -36.6667,  0.31031899E-03,  0.27127656E-02, -0.55983027E-03
  -15.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.27801658E-02, -0.00000000E+00
  -15.0000,    1.5000,  -36.6667, -0.31031899E-03,  0.27127656E-02,  0.55983027E-03
  -15.0000,    3.0000,  -36.6667, -0.61130416E-03,  0.25114176E-02,  0.11028219E-02
  -10.0000,   -3.0000,  -36.6667,  0.42452446E-03,  0.16930503E-02, -0.76586240E-03
  -10.0000,   -1.5000,  -36.6667,  0.21642221E-03,  0.18509065E-02, -0.39043599E-03
  -10.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.19037134E-02, -0.00000000E+00
  -10.0000,    1.5000,  -36.6667, -0.21642221E-03,  0.18509065E-02,  0.39043599E-03
  -10.0000,    3.0000,  -36.6667, -0.42452446E-03,  0.16930503E-02,  0.76586240E-03
   -5.0000,   -3.0000,  -36.6667,  0.28124617E-03,  0.11459362E-02, -0.50738153E-03
   -5.0000,   -1.5000,  -36.6667,  0.14424678E-03,  0.12642508E-02, -0.26022808E-03
   -5.0000,    0.0000,  -36.6667,  0.00000000E+00,  0.13039698E-02, -0.00000000E+00
   -5.0000,    1.5000,  -36.6667, -0.14424678E-03,  0.12642508E-02,  0.26022808E-03
   -5.0000,    3.0000,  -36.6667, -0.28124617E-03,  0.11459362E-02,  0.50738153E-03
