x_cm,y_cm,z_cm,ex_kVcm,ey_kVcm,ez_kVcm
   -4.0000,   -2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,   -1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,    0.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,    1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,    2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,   -2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,   -1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,    0.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,    1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,    2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,   -2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,   -1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,    0.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,    1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,    2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,   -2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,   -1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,    0.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,    1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,    2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,   -2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,   -1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,    0.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,    1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,    2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,   -2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,   -1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,    0.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,    1.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,    2.0000,  -30.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,   -2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,   -1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,    1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,    2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,   -2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,   -1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,    0.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,    1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -2.6667,    2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,   -2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,   -1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,    0.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,    1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.3333,    2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,   -2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,   -1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,    0.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,    1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.3333,    2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,   -2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,   -1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,    0.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,    1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    2.6667,    2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,   -2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,   -1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,    0.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,    1.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    4.0000,    2.0000,  -27.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,   -2.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,   -1.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,    0.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,    1.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -4.0000,    2.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
