theta_mrad,x_mslt_cm,x_fslt_cm
-10.6599,nan,nan
-11.5078,nan,nan
-8.2586,nan,nan
-11.9288,nan,nan
14.5291,nan,nan
4.2208,0.47702,1.32116
4.6647,0.52330,1.59902
-1.9164,-0.20077,0.04435
-9.1518,nan,nan
-8.6729,nan,nan
-5.8069,-0.61166,-1.25870
-6.8266,nan,nan
-5.2842,-0.50101,-1.17454
-17.6857,nan,nan
5.0688,-0.05237,-0.87268
9.1122,0.34273,0.76607
-5.5106,-0.55852,-1.48763
10.2866,0.31481,0.26600
-8.0008,nan,nan
6.8574,0.00518,-0.83801
-3.3881,-0.62767,nan
5.5222,0.44307,1.82703
-11.6902,nan,nan
14.5493,nan,nan
6.3830,0.63277,1.58724
-14.9175,nan,nan
7.9830,0.34333,1.07972
14.6644,nan,nan
3.9685,0.40125,1.99984
-9.8889,nan,nan
14.7710,nan,nan
13.7708,nan,nan
-10.5423,nan,nan
4.1917,0.19228,1.06610
15.0802,nan,nan
9.6602,0.34369,0.58788
2.1678,-0.23522,-1.25526
-5.0015,-0.68859,nan
17.7561,nan,nan
-2.2395,-0.57069,nan
9.6358,nan,nan
10.3675,0.28693,0.05223
-13.2869,nan,nan
-1.1261,-0.46436,-2.18661
-5.9855,-0.72903,nan
8.9359,0.37686,1.00011
-1.1692,-0.41380,-1.48597
-2.3731,nan,nan
11.4187,nan,nan
8.5496,0.18606,-0.09985
-2.7267,-0.56708,nan
8.1795,0.52421,1.69786
12.4649,0.69092,1.75261
5.5122,0.28282,1.22887
13.6394,nan,nan
-2.3220,-0.58799,nan
-4.0875,-0.42072,-0.86549
0.0903,-0.27114,-0.99369
9.9372,0.36777,0.64041
8.2206,0.67180,2.06579
-19.0925,nan,nan
2.1154,-0.27780,-1.59951
16.5325,nan,nan
-11.6746,nan,nan
2.6183,-0.19904,-1.21784
-11.2702,nan,nan
-12.1613,nan,nan
-1.6066,-0.50402,-2.12251
0.5039,-0.23579,-0.83501
11.6329,nan,nan
13.5233,0.69254,1.65203
-12.5753,nan,nan
20.9639,nan,nan
4.0728,0.24415,1.28956
10.2225,nan,nan
-0.3522,-0.05739,0.69142
-7.0831,nan,nan
6.7004,0.31791,1.18057
-5.0992,-0.70937,nan
-272.3390,nan,nan
-0.8674,-0.07916,0.70498
4.3026,0.15041,0.78615
12.3787,nan,nan
10.2180,nan,nan
12.9100,nan,nan
-5.2744,-0.65359,-2.24502
-17.6413,nan,nan
3.0147,0.14660,1.03401
5.1865,-0.06860,-1.00168
-10.8598,nan,nan
0.2316,0.07384,1.32502
11.0920,0.62767,1.74171
1.1704,0.14086,1.45017
6.0490,0.49354,1.78535
10.9583,0.53573,1.43796
-9.9881,nan,nan
13.5193,nan,nan
-14.4890,nan,nan
11.4785,0.66665,1.75997
-11.2924,nan,nan
-3.5828,-0.27952,-0.06992
2.2709,0.26755,1.52012
8.9875,0.30778,0.50745
-6.3343,-0.71155,nan
5.2101,0.01256,-0.47906
6.4875,0.55535,1.86430
11.1470,nan,nan
11.8484,0.54402,1.26843
-12.8982,nan,nan
-10.9344,nan,nan
-4.0825,-0.69772,nan
-1.3831,-0.44795,-1.87166
0.4020,0.10396,1.29742
11.0364,0.63843,1.81067
12.8031,0.63173,1.56602
-12.3559,nan,nan
11.3922,0.42701,0.64953
-0.2614,-0.08768,0.58407
-7.3885,-0.64829,-1.61123
2.6382,0.27225,1.71041
9.1821,0.39195,1.06057
-19.3670,nan,nan
2.5597,0.31384,1.97719
-3.6756,-0.67387,nan
-12.6031,nan,nan
-3.4192,-0.31276,-0.25813
7.2580,0.60555,1.70228
4.3844,0.29266,1.53870
-10.4376,nan,nan
5.5791,0.34890,1.66261
-6.1960,-0.69760,nan
9.0964,0.33316,0.68499
9.5543,0.40478,1.01325
-1.6900,-0.48189,-1.78883
6.2456,0.56665,1.46483
3.7925,0.34115,2.09178
10.5336,nan,nan
-1.2191,-0.31865,-1.09141
-14.6999,nan,nan
7.0785,0.50013,2.08230
5.1652,0.37553,1.59759
10.3417,nan,nan
-2.9129,-0.64490,nan
-1.1263,-0.32686,-0.90619
3.0782,-0.23656,-1.48178
7.3341,0.08116,-0.49968
-17.4671,nan,nan
-1.7178,-0.17485,0.17343
-7.5752,-0.66544,-1.75053
2.4571,-0.28212,-1.76198
-1.8608,-0.46592,-1.91221
1.5241,0.05053,0.92438
1.5341,-0.23765,-1.07850
-6.2621,nan,nan
-22.6160,nan,nan
16.3278,nan,nan
-4.5000,-0.57105,-1.78752
-8.7698,nan,nan
13.3133,nan,nan
-8.2565,-0.72434,-2.11094
10.8253,nan,nan
13.2080,nan,nan
-2.9755,-0.57602,nan
13.3957,0.67083,1.61294
-1.0976,-0.23541,-0.39949
-3.4623,-0.32559,-0.14959
8.2114,0.58381,1.78887
9.0741,nan,nan
-13.9520,nan,nan
-10.7164,nan,nan
-1.2650,-0.39122,-1.34561
-11.6117,nan,nan
-12.4220,nan,nan
-19.3199,nan,nan
-15.3458,nan,nan
-3.9441,-0.37173,-0.43408
-10.6318,nan,nan
8.0022,nan,nan
1.2425,0.14160,1.22088
3.7970,-0.05756,-0.47852
-6.6528,nan,nan
9.5171,0.54747,1.78720
1.8223,0.14805,1.40504
7.8211,0.22994,0.30645
17.2696,nan,nan
-5.3293,-0.70506,nan
