theta_mrad,x_mslt_cm,x_fslt_cm
-0.5310,-0.05598,0.12734
12.1643,0.02459,0.39131
17.3493,nan,nan
5.9659,-0.02352,0.29944
-10.0386,-0.10258,-0.07871
1.8524,-0.11826,0.03189
-2.2021,-0.11707,-0.16091
0.3416,0.09114,0.41060
7.1739,0.03144,0.24249
-3.0341,-0.18460,-0.12621
-6.4611,-0.01442,0.18660
4.9362,-0.20055,-0.14409
10.8021,nan,nan
9.6248,-0.14674,0.05093
-8.8035,-0.09341,0.20950
-2.9641,-0.08308,0.12152
11.7704,0.08552,0.41415
-4.9671,-0.00201,0.38655
-7.7232,-0.11816,0.24227
3.0684,-0.10843,0.15151
14.8728,-0.10913,0.08937
-15.8922,-0.23060,-0.01012
4.1671,0.02236,0.25764
9.1589,0.01994,0.32383
7.7939,nan,nan
-1.3022,0.04747,0.14623
-14.3954,-0.31124,-0.30189
-4.2979,0.03386,0.36044
4.4798,-0.03366,0.20962
6.9412,0.06364,0.36503
10.4297,0.04923,0.36730
9.9711,0.03597,0.43961
-5.0652,-0.18617,0.04845
-5.0319,-0.14257,-0.11160
-13.9180,-0.25009,-0.00264
13.4555,-0.07104,0.24859
1.0440,-0.16826,0.05486
5.4532,0.04357,0.49938
7.2520,-0.13682,0.14036
-2.7901,nan,nan
8.9918,0.04677,0.30540
17.9367,nan,nan
11.0928,0.10598,0.52203
0.1513,0.03005,0.33455
3.3918,0.06588,0.54482
4.9724,-0.03303,0.21926
-4.6703,-0.04958,0.25762
7.9047,-0.06638,0.30790
6.8997,nan,nan
-0.8060,nan,nan
3.0821,0.04599,0.31470
-14.6813,nan,nan
-8.7319,-0.02418,0.28409
-1.8274,-0.06245,0.36871
-9.2373,-0.17890,-0.03029
-9.8740,-0.04920,0.31883
-15.4298,-0.19952,-0.19604
0.0031,-0.00424,0.32916
9.3917,-0.10593,0.19528
-1.4429,-0.06609,-0.13440
5.3752,-0.01141,0.18886
1.6980,-0.12973,0.15956
-3.7647,-0.09959,0.15101
10.0407,0.03462,0.41645
-12.0021,-0.01661,0.32506
-20.1328,-0.06782,0.25600
-9.4790,-0.02298,0.27497
-1.4869,-0.04007,0.11187
1.7757,-0.15135,0.24627
-4.4765,-0.06972,0.29256
-16.5986,-0.10464,0.20563
-0.8451,0.09702,0.38887
-9.6554,-0.05098,0.18930
1.8962,0.02371,0.34724
0.0632,nan,nan
-0.6804,0.02292,0.35472
-4.5989,-0.10660,-0.17445
-11.4562,-0.08262,0.07798
8.2116,0.04262,0.24330
14.0972,nan,nan
-6.9056,0.01739,0.43056
-3.5268,-0.07480,0.05544
2.5446,-0.10474,0.24185
11.7809,-0.06749,0.30850
-5.6512,-0.15795,0.14704
17.8337,-0.02624,0.41386
-15.5761,0.02783,0.42908
-11.1648,-0.01266,0.34293
-5.7222,-0.01887,0.31618
13.5738,-0.10652,0.22304
-10.9116,-0.00067,0.30985
