x_cm,y_cm,z_cm,bx_T,by_T,bz_T
   -3.0000,   -3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,   -1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,    0.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,    1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,    3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,   -3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,   -1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,    0.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,    1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,    3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,   -3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,   -1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,    0.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,    1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,    3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,   -3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,   -1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,    0.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,    1.5000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,    3.0000,  -25.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,   -3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,   -1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,    0.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,    1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,    3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,   -3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,   -1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,    0.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,    1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,    3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,   -3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,   -1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,    0.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,    1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,    3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,   -3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,   -1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,    0.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,    1.5000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,    3.0000,  -22.5000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,   -3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,   -1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,    0.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,    1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,    3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,   -3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,   -1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,    0.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,    1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -1.5000,    3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,   -1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    0.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    0.0000,    3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,   -3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,   -1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,    0.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,    1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    1.5000,    3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,   -3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,   -1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,    0.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,    1.5000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
    3.0000,    3.0000,  -20.0000,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
   -3.0000,   -3.0000,  -17.5000,  0.85039974E-04,  0.85039974E-04, -0.87205578E-04
   -3.0000,   -1.5000,  -17.5000,  0.45552288E-04,  0.10411694E-03, -0.46265197E-04
   -3.0000,    0.0000,  -17.5000, -0.00000000E+00,  0.11063084E-03, -0.00000000E+00
   -3.0000,    1.5000,  -17.5000, -0.45552288E-04,  0.10411694E-03,  0.46265197E-04
   -3.0000,    3.0000,  -17.5000, -0.85039974E-04,  0.85039974E-04,  0.87205578E-04
   -1.5000,   -3.0000,  -17.5000,  0.10411694E-03,  0.45552288E-04, -0.46265197E-04
   -1.5000,   -1.5000,  -17.5000,  0.55300059E-04,  0.55300059E-04, -0.24436918E-04
   -1.5000,    0.0000,  -17.5000, -0.00000000E+00,  0.58626250E-04, -0.00000000E+00
   -1.5000,    1.5000,  -17.5000, -0.55300059E-04,  0.55300059E-04,  0.24436918E-04
   -1.5000,    3.0000,  -17.5000, -0.10411694E-03,  0.45552288E-04,  0.46265197E-04
    0.0000,   -3.0000,  -17.5000,  0.11063084E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,   -1.5000,  -17.5000,  0.58626250E-04,  0.00000000E+00, -0.00000000E+00
    0.0000,    0.0000,  -17.5000, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
    0.0000,    1.5000,  -17.5000, -0.58626250E-04,  0.00000000E+00, -0.00000000E+00
    0.0000,    3.0000,  -17.5000, -0.11063084E-03,  0.00000000E+00, -0.00000000E+00
    1.5000,   -3.0000,  -17.5000,  0.10411694E-03, -0.45552288E-04,  0.46265197E-04
    1.5000,   -1.5000,  -17.5000,  0.55300059E-04, -0.55300059E-04,  0.24436918E-04
    1.5000,    0.0000,  -17.5000, -0.00000000E+00, -0.58626250E-04, -0.00000000E+00
    1.5000,    1.5000,  -17.5000, -0.55300059E-04, -0.55300059E-04, -0.24436918E-04
    1.5000,    3.0000,  -17.5000, -0.10411694E-03, -0.45552288E-04, -0.46265197E-04
    3.0000,   -3.0000,  -17.5000,  0.85039974E-04, -0.85039974E-04,  0.87205578E-04
    3.0000,   -1.5000,  -17.5000,  0.45552288E-04, -0.10411694E-03,  0.46265197E-04
    3.0000,    0.0000,  -17.5000, -0.00000000E+00, -0.11063084E-03, -0.00000000E+00
    3.0000,    1.5000,  -17.5000, -0.45552288E-04, -0.10411694E-03, -0.46265197E-04
    3.0000,    3.0000,  -17.5000, -0.85039974E-04, -0.85039974E-04, -0.87205578E-04
   -3.0000,   -3.0000,  -15.0000,  0.18764112E-03,  0.18764112E-03, -0.20504968E-03
   -3.0000,   -1.5000,  -15.0000,  0.99600727E-04,  0.22256116E-03, -0.10587182E-03
   -3.0000,    0.0000,  -15.0000, -0.00000000E+00,  0.23424389E-03, -0.00000000E+00
   -3.0000,    1.5000,  -15.0000, -0.99600727E-04,  0.22256116E-03,  0.10587182E-03
   -3.0000,    3.0000,  -15.0000, -0.18764112E-03,  0.18764112E-03,  0.20504968E-03
   -1.5000,   -3.0000,  -15.0000,  0.22256116E-03,  0.99600727E-04, -0.10587182E-03
   -1.5000,   -1.5000,  -15.0000,  0.11711441E-03,  0.11711441E-03, -0.54631126E-04
   -1.5000,    0.0000,  -15.0000, -0.00000000E+00,  0.12298702E-03, -0.00000000E+00
   -1.5000,    1.5000,  -15.0000, -0.11711441E-03,  0.11711441E-03,  0.54631126E-04
   -1.5000,    3.0000,  -15.0000, -0.22256116E-03,  0.99600727E-04,  0.10587182E-03
    0.0000,   -3.0000,  -15.0000,  0.23424389E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,   -1.5000,  -15.0000,  0.12298702E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,    0.0000,  -15.0000, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
    0.0000,    1.5000,  -15.0000, -0.12298702E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,    3.0000,  -15.0000, -0.23424389E-03,  0.00000000E+00, -0.00000000E+00
    1.5000,   -3.0000,  -15.0000,  0.22256116E-03, -0.99600727E-04,  0.10587182E-03
    1.5000,   -1.5000,  -15.0000,  0.11711441E-03, -0.11711441E-03,  0.54631126E-04
    1.5000,    0.0000,  -15.0000, -0.00000000E+00, -0.12298702E-03, -0.00000000E+00
    1.5000,    1.5000,  -15.0000, -0.11711441E-03, -0.11711441E-03, -0.54631126E-04
    1.5000,    3.0000,  -15.0000, -0.22256116E-03, -0.99600727E-04, -0.10587182E-03
    3.0000,   -3.0000,  -15.0000,  0.18764112E-03, -0.18764112E-03,  0.20504968E-03
    3.0000,   -1.5000,  -15.0000,  0.99600727E-04, -0.22256116E-03,  0.10587182E-03
    3.0000,    0.0000,  -15.0000, -0.00000000E+00, -0.23424389E-03, -0.00000000E+00
    3.0000,    1.5000,  -15.0000, -0.99600727E-04, -0.22256116E-03, -0.10587182E-03
    3.0000,    3.0000,  -15.0000, -0.18764112E-03, -0.18764112E-03, -0.20504968E-03
   -3.0000,   -3.0000,  -12.5000,  0.41745840E-03,  0.41745840E-03, -0.39756021E-03
   -3.0000,   -1.5000,  -12.5000,  0.21713685E-03,  0.47023806E-03, -0.20312445E-03
   -3.0000,    0.0000,  -12.5000, -0.00000000E+00,  0.48824275E-03, -0.00000000E+00
   -3.0000,    1.5000,  -12.5000, -0.21713685E-03,  0.47023806E-03,  0.20312445E-03
   -3.0000,    3.0000,  -12.5000, -0.41745840E-03,  0.41745840E-03,  0.39756021E-03
   -1.5000,   -3.0000,  -12.5000,  0.47023806E-03,  0.21713685E-03, -0.20312445E-03
   -1.5000,   -1.5000,  -12.5000,  0.24407169E-03,  0.24407169E-03, -0.10399653E-03
   -1.5000,    0.0000,  -12.5000, -0.00000000E+00,  0.25329064E-03, -0.00000000E+00
   -1.5000,    1.5000,  -12.5000, -0.24407169E-03,  0.24407169E-03,  0.10399653E-03
   -1.5000,    3.0000,  -12.5000, -0.47023806E-03,  0.21713685E-03,  0.20312445E-03
    0.0000,   -3.0000,  -12.5000,  0.48824275E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,   -1.5000,  -12.5000,  0.25329064E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,    0.0000,  -12.5000, -0.00000000E+00,  0.00000000E+00, -0.00000000E+00
    0.0000,    1.5000,  -12.5000, -0.25329064E-03,  0.00000000E+00, -0.00000000E+00
    0.0000,    3.0000,  -12.5000, -0.48824275E-03,  0.00000000E+00, -0.00000000E+00
    1.5000,   -3.0000,  -12.5000,  0.47023806E-03, -0.21713685E-03,  0.20312445E-03
    1.5000,   -1.5000,  -12.5000,  0.24407169E-03, -0.24407169E-03,  0.10399653E-03
    1.5000,    0.0000,  -12.5000, -0.00000000E+00, -0.25329064E-03, -0.00000000E+00
    1.5000,    1.5000,  -12.5000, -0.24407169E-03, -0.24407169E-03, -0.10399653E-03
    1.5000,    3.0000,  -12.5000, -0.47023806E-03, -0.21713685E-03, -0.20312445E-03
    3.0000,   -3.0000,  -12.5000,  0.41745840E-03, -0.41745840E-03,  0.39756021E-03
    3.0000,   -1.5000,  -12.5000,  0.21713685E-03, -0.47023806E-03,  0.20312445E-03
    3.0000,    0.0000,  -12.5000, -0.00000000E+00, -0.48824275E-03, -0.00000000E+00
